0.002917,0.00495,0.003965
0.005142,0.008685,0.005356
0.003187,0.008464,0.003293
0.006034,0.007684,0.006346
0.002867,0.008815,0.005377
0.002466,0.005659,0.005704
0.003944,0.005233,0.005235
0.004214,0.009095,0.005881
0.003011,0.008659,0.003594
0.00561,0.005365,0.004402
0.002412,0.002212,0.00336
0.003296,0.002133,0.002547
0.003938,0.004707,0.004538
0.005018,0.00881,0.004454
0.002611,0.0008074,0.002178
0.004397,0.002439,0.005323
0.006771,0.0018,0.005523
0.001087,0.00115,0.003955
0.006616,0.001131,0.006586
0.006015,0.004515,0.006636
0.002762,0.00844,0.003551
0.004382,0.008976,0.00489
0.004637,0.007562,0.00664
0.006422,0.001396,0.006218
0.003346,0.001082,0.001656
0.004687,0.004087,0.003366
0.003567,0.009435,0.004602
0.001486,0.001177,0.003762
0.00681,0.00317,0.007498
0.00367,0.008638,0.005381
0.002188,0.008264,0.002569
0.004117,0.001247,0.006653
0.004708,0.007331,0.003432
0.00751,0.006591,0.006681
0.001765,0.002984,0.003846
0.001952,0.0007837,0.0028
