20,-1.64484895,-1.653061749,-1.539965698,-1.34109101,-1.162873548
21,-1.790178943,-1.840763405,-1.728430854,-1.51677822,-1.283494293
22,-1.97525088,-2.041459719,-1.949742002,-1.719732257,-1.419934306
23,-2.166644273,-2.246317685,-2.20144741,-1.958485493,-1.598854855
24,-2.382630665,-2.472123511,-2.411036999,-2.212237891,-1.767427393
25,-2.571025788,-2.662355878,-2.686093779,-2.492468892,-1.966787291
26,-3.012234556,-3.21497784,-3.220510292,-3.044419033,-2.25226698
27,-3.173085941,-3.469152546,-3.479136708,-3.372242021,-2.549123928
28,-3.750877498,-3.908484281,-3.811574971,-3.908484281,-2.772160839
29,-4.21E+00,-4.51E+00,,-4.33E+00,-3.356729963
30,-3.908484281,,,,-3.63548465
31,-4.64E+00,,,,-4.51E+00
32,,,,,
33,-4.33E+00,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
